标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
600210	紫江企业	343178765	9200580	5300258	0	0	0
600213	亚星客车	103978100	16427358	18050116	0	0	0
600216	浙江医药	724983213	15331607	15139548	374350	8600	23700
600217	中再资环	258642381	12832043	9624992	0	0	0
600218	全柴动力	510869975	12354800	33413451	77300	0	0
600219	南山铝业	913457108	25829068	43670410	2380000	221000	531620
600220	江苏阳光	202159604	24129469	32114498	10000	0	0
600221	海航控股	941944305	26624445	29569488	1273800	0	88100
600222	太龙药业	241499738	3813539	3275827	16200	0	0
600223	鲁商发展	587995100	35219353	31868224	90000	6400	0
600229	城市传媒	262687559	5174956	3975908	0	0	0
600230	沧州大化	426557460	2227781	6379587	2520	0	0
600231	凌钢股份	66093040	15121470	19031744	0	0	0
600233	圆通速递	610262649	19820186	23142356	21918622	35200	127800
600236	桂冠电力	86323550	2164089	713489	0	0	0
600237	铜峰电子	251946354	21117133	37149209	0	0	0
600239	云南城投	339345571	2805801	5705568	15000	800	0
600246	万通发展	411722222	14639474	40800945	15529906	0	0
600251	冠农股份	314939665	8354399	13950959	5000	0	0
600252	中恒集团	545630155	7300236	6644047	30800	0	0
600256	广汇能源	819993761	17867139	19760008	917760	25400	0
600257	大湖股份	185357267	58772295	71839333	43800	0	0
600258	首旅酒店	232092942	11063847	13911169	121000	0	11500
600259	广晟有色	655166469	15530947	19009987	109642	0	18500
600260	凯乐科技	1509689572	10944291	16067642	326127	7000	20700
600261	阳光照明	226382972	7767488	11394432	0	0	0
600266	城建发展	1395232921	4044698	3783700	684040	900	167436
600267	海正药业	1074241648	13261713	10456651	19400	0	7700
600268	国电南自	179974380	7328564	9103545	40000	0	13600
600269	赣粤高速	319945409	12776608	7515166	0	0	0
600271	航天信息	1024371171	41006118	28829391	471461	45900	38161
600273	嘉化能源	1287975725	28933161	34112764	477055	18400	20800
600276	恒瑞医药	4253835985	136870291	161066143	56643997	1403633	869169
600277	亿利洁能	550282780	6645493	11705792	601699	2500	26400
600278	东方创业	107262724	954049	2611073	10500	0	0
600282	南钢股份	480738706	15085490	53022929	1589101	45000	87500
600284	浦东建设	174707926	1469676	778859	8000	0	0
600285	羚锐制药	365999361	2350037	4497420	0	0	0
600287	江苏舜天	97261512	2639060	2774407	6400	0	0
600288	大恒科技	507852222	4451538	3842580	5883	800	0
600291	西水股份	187979758	6580107	9564921	397100	2000	200
600292	远达环保	259606957	6483991	8451097	2000	0	0
600293	三峡新材	173792224	1949250	5655117	9000	0	0
600295	鄂尔多斯	180308099	32266443	44198854	263400	10000	27200
600297	广汇汽车	783516814	43013406	75343750	1593100	471100	75300
600298	安琪酵母	1018067130	104953706	101875144	278298	0	26100
600299	安迪苏	318050280	8172431	9180074	108811	9700	0
600300	维维股份	460858216	42944538	41465393	0	0	5000
600303	曙光股份	146987695	6823529	9736206	115700	0	0
600305	恒顺醋业	296623498	18609363	30979628	475368	0	0
600307	酒钢宏兴	400002567	33606604	33772686	1106400	145300	64600
600308	华泰股份	306956996	21688948	16780613	0	0	0
600309	万华化学	2233065446	76548933	82973533	6912659	69692	99486
600310	桂东电力	128592614	1637911	1603921	0	0	4100
600312	平高电气	463455897	21595962	11757894	619065	7100	85600
600315	上海家化	493928870	15017915	12751813	7829279	9000	294937
600316	洪都航空	1273493153	87550982	140712079	493201	5000	32700
600317	营口港	136843812	2527645	3386720	39100	0	0
600318	新力金融	376109952	14431804	20445733	98600	0	0
600320	振华重工	182361100	1701553	2714731	7300	0	0
600322	天房发展	127117488	2237364	4970983	0	0	99900
600323	瀚蓝环境	394290770	9987264	11129291	600	0	0
600325	华发股份	1065647464	6430182	11637266	1052983	79600	35200
600326	西藏天路	724729746	4607676	9547607	11600	2000	0
600328	中盐化工	212258648	5440954	6423995	0	0	0
600329	中新药业	328447342	35902143	21326290	186817	1600	0
600330	天通股份	918807581	36609229	67486623	37200	0	100000
600331	宏达股份	266674218	27763297	30717912	0	0	0
600332	白云山	1068015476	17454598	35110837	440189	10300	62100
600333	长春燃气	148676709	25291602	26977522	0	0	0
600335	国机汽车	399512123	23868245	22022517	425800	0	0
600336	澳柯玛	524717992	177651273	156825904	114800	700	0
600337	美克家居	304907999	4064426	5649051	55182	17000	8400
600339	中油工程	201323457	5412225	5795507	1366500	27500	35500
600340	华夏幸福	1804116724	20598771	19742582	377103	34600	81600
600343	航天动力	307225411	1393216	6988989	3957	0	4900
600345	长江通信	174532587	5130236	4179479	10000	0	0
600346	恒力石化	785649183	44375067	38652837	661370	117900	105400
600348	阳泉煤业	492054497	48109738	37910530	728500	45400	111400
600350	山东高速	87437771	2086841	2626358	429200	11900	35500
600351	亚宝药业	165661977	3194267	8230406	3000	0	0
600352	浙江龙盛	2823955817	66822757	65428193	1212584	430600	25300
600360	华微电子	671615805	113019022	134871683	765810	61200	18600
600362	江西铜业	1711523735	373749591	308902676	30993201	1286500	617922
600363	联创光电	1415847397	60357268	93344965	200400	145700	400
600366	宁波韵升	487175523	19944202	23425914	22900	0	0
600368	五洲交通	88660560	3409940	2797743	81000	0	0
600369	西南证券	973308906	17345464	19343092	1308686	176100	114900
600372	中航电子	1112777928	50074064	43018186	229948	22700	95100
600373	中文传媒	546791264	6447848	7788564	383936	200	47000
600375	华菱星马	407813199	22863326	25835647	76000	6000	0
600376	首开股份	378667444	2194366	3660925	589769	30200	31400
600377	宁沪高速	58232106	1885773	3362679	48200	0	17000
600378	昊华科技	174389144	6106184	7390808	2000	0	0
600380	健康元	768573139	51598358	55391995	291275	12600	39900
600382	广东明珠	305021643	52648660	51176437	111285	0	0
600383	金地集团	962366700	67839800	27475234	6851574	164300	121500
600386	北巴传媒	170628697	4587809	6098865	0	0	0
600387	海越能源	259276045	2932343	3026792	192400	0	0
600388	龙净环保	605512840	8988141	13607696	354813	13400	21200
600389	江山股份	309255501	4424827	13359819	2600	100	2000
600390	五矿资本	580880412	14397409	12479259	794557	0	0
600391	航发科技	455112319	21283964	25219388	3000	0	6000
600392	盛和资源	1366765044	87712355	112464735	6489181	5300	53706
600395	盘江股份	235960962	33911548	46434912	647750	492850	400
600398	海澜之家	156167659	3042281	3123238	215900	800	36500
600400	红豆股份	120767871	549453	3875436	4700	0	0
600403	大有能源	79388073	22810567	20268481	100800	0	0
600406	国电南瑞	2298305439	20693955	24597345	597319	44100	23600
600409	三友化工	472642459	13579071	28991820	396000	1600	31600
600410	华胜天成	1041556045	16317983	26606699	478857	78900	55430
600415	小商品城	666776296	8680571	11571267	10489120	22700	113200
600418	江淮汽车	1567772473	646561656	551286548	562072	85000	28001
600422	昆药集团	458126546	5288880	7833413	0	0	2000
600425	青松建化	348264200	2327538	7429163	2300	0	0
600426	华鲁恒升	195981388	20467103	16536078	2426221	81756	92900
600428	中远海特	187602286	15281433	17193246	1155210	0	37900
600433	冠豪高新	493646409	16190842	15268953	6100	0	0
600435	北方导航	605507952	24138581	16836270	575657	71900	23590
600436	片仔癀	1973209816	135918873	151803502	719958	8700	14500
600438	通威股份	1907415715	340209782	327104862	2801134	340400	720600
600446	金证股份	1006535579	23899464	24151452	122000	9300	21100
600448	华纺股份	161468045	3937664	7400200	11000	0	0
600449	宁夏建材	571422813	14136258	15011376	400	0	100
600452	涪陵电力	294148142	6341291	7253414	0	0	0
600456	宝钛股份	463950432	31452765	44293887	7900	7200	1200
600458	时代新材	284006681	7296639	8007170	71000	0	7400
600459	贵研铂业	807847762	42611289	62562551	98868	20000	600
600460	士兰微	1312812658	178773673	138058570	3200595	326483	100800
600466	蓝光发展	427977382	8884494	14140025	959015	1500	165600
600467	好当家	240206538	46423056	48728489	5900	0	8400
600469	风神股份	88100579	4243452	7037635	0	0	0
600477	杭萧钢构	260197861	4163404	4818648	0	0	0
600478	科力远	416587558	13100103	22598820	261709	7900	23500
600480	凌云股份	196844564	2611440	3248484	27300	0	4400
600481	双良节能	267406789	9155659	10281587	1600	0	6000
600482	中国动力	470456180	15098144	15653420	312260	10400	21100
600483	福能股份	154326621	2015676	899422	0	0	0
600486	扬农化工	142551907	10518351	8774803	253687	12688	10480
600487	亨通光电	1599448213	19461632	24617972	18946294	1328400	29800
600489	中金黄金	1537446356	31864673	46838947	395606	3200	57400
600490	鹏欣资源	736176560	22286691	25116619	450100	135800	205000
600491	龙元建设	507683657	7015147	11562520	8400	3400	0
600495	晋西车轴	286655611	2527481	4028801	176200	0	0
600497	驰宏锌锗	755191661	47372313	54892363	1711600	212100	117700
600498	烽火通信	1241858809	22166964	19895538	231349	6900	10500
600499	科达制造	610728758	14783156	16930183	83800	0	6800
600500	中化国际	732683576	11702299	16201650	791723	13100	114700
600501	航天晨光	153325709	4671628	4690136	0	0	0
600502	安徽建工	341384795	4473112	5437635	5200	3000	0
600503	华丽家族	575105783	19533756	25571919	108600	0	0
600507	方大特钢	414752125	22680256	36306251	403469	6700	52200
600508	上海能源	150079705	12230720	13293636	31800	9400	0
600509	天富能源	220239379	57869112	47452390	137500	0	156000
600510	黑牡丹	233535174	3819039	4907780	2800	800	0
600511	国药股份	1401612304	487190470	435511938	199400	10600	51200
600512	腾达建设	251537562	4488473	6252662	0	0	0
600515	海航基础	1013811803	12898130	49867159	382842	10400	81300
600516	方大炭素	1460419246	42515808	45132029	410634	99114	116500
600517	国网英大	422831391	9387504	20611518	304200	1600	256900
600519	贵州茅台	18512623528	581456458	644006735	1660914	60029	68341
600521	华海药业	444254721	13356238	22508764	468616	300	43900
600522	中天科技	1758445140	20586490	28980594	1070358	30900	17600
600523	贵航股份	546336074	5562003	13661510	66744	500	500
600525	长园集团	549923261	4842054	4231205	6100	0	28800
600528	中铁工业	617668586	3081209	7344192	646397	600	26400
600529	山东药玻	1399053032	266709031	264521119	333800	8800	18100
600531	豫光金铅	312322034	19021382	26628066	950697	100000	0
600532	宏达矿业	210894383	2338335	4566583	69800	0	0
600533	栖霞建设	148688570	8791786	9275522	9700	0	0
600535	天士力	1109157667	27085150	25649402	339595	9300	20300
600536	中国软件	2561834406	109728876	157179833	160500	17700	19000
600537	亿晶光电	297707157	6274980	4840279	0	0	0
600543	莫高股份	215719180	35881232	32266399	57787	0	39400
600545	卓郎智能	379828723	6018519	5052915	428179	60400	23500
600546	山煤国际	511998073	118102126	106939476	146500	0	1200
600547	山东黄金	2360121798	29582990	52452181	422804	47600	57600
600548	深高速	68476438	908501	1691039	36700	0	0
600549	厦门钨业	988160018	35638639	41693571	408405	76400	73400
600550	保变电气	95402272	1199732	2658511	0	0	0
600551	时代出版	199302006	736939	1235643	161124	1200	0
600552	凯盛科技	480280577	20449776	26047901	85700	0	50000
600557	康缘药业	205417000	7421411	5621253	111241	1600	5100
600559	老白干酒	1155417266	267513510	317547049	59200	0	6000
600562	国睿科技	339929935	19489004	37149414	183500	57100	57700
600563	法拉电子	228244363	17032553	14315909	94833	22800	6000
600565	迪马股份	240655404	8271428	5984657	684000	10000	29300
600566	济川药业	346864644	5787998	4011315	4156829	6700	12500
600567	山鹰国际	577641682	22547664	32391467	894124	18400	152500
600569	安阳钢铁	91391699	41126868	47530032	237200	0	0
600570	恒生电子	2336916370	63783737	77050919	366033	45154	18800
600571	信雅达	217731467	4982790	6113071	18500	10500	0
600572	康恩贝	693980214	4709338	10394439	702865	5800	48100
600575	淮河能源	428812932	7121549	9677979	511200	200	35700
600577	精达股份	225729705	4070292	4886923	0	0	0
600578	京能电力	247536462	239759	531670	0	0	13100
600580	卧龙电驱	1125612906	57367383	81348842	443160	58900	16000
600581	八一钢铁	213299509	15372789	25933957	266900	30000	120000
