标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
510050	50ETF	9124439111	181028759	171703791	37007722	4140500	8689960
510180	180ETF	160989270	898989	595780	866450	4800	34700
510210	综指ETF	2863373	369708	1164506	0	0	0
510230	金融ETF	36196116	6621060	2905749	0	0	0
510300	300ETF	9042405292	84892147	118293503	77169577	5516500	12032500
510310	HS300ETF	387921518	6804248	1714614	162837300	3709300	15671000
510330	华夏300	967631568	766643	19876702	43008610	310900	1628900
510360	广发300	949120	74415	5216	0	0	0
510390	平安300	33362100	10808	0	6925660	232300	0
510500	500ETF	814814540	28229996	49703544	1858129312	53767900	15401300
510510	广发500	20443757	1944167	118522	589460200	27812500	24608400
510580	ZZ500ETF	2430752	233393	822465	160000	0	0
510590	平安500	472323	312622	247625	19054956	182300	0
510710	上50ETF	7138737	1272883	157410	0	0	0
510760	上证ETF	2604013	1110196	489843	0	0	0
510810	上海国企	149295	0	3884	0	0	0
510880	红利ETF	34801472	3668061	3576321	0	0	0
510900	H股ETF	31385168512	300627319	296773331	0	0	0
511010	国债ETF	5747866	0	666	0	0	0
511180	上证转债	417820	0	0	0	0	0
511380	转债ETF	25120049	4083	277560	0	0	0
512000	券商ETF	2515739705	122596583	121967611	103717950	49012600	3000000
512010	医药ETF	51120023	6937034	9398703	0	0	0
512070	非银ETF	32471554	3978029	1780016	0	0	0
512100	1000ETF	2042428	1022	514097	3100000	2100000	0
512160	MSCI基金	7547454	209780	18134	0	0	0
512170	医疗ETF	81796225	5211403	6297372	7800000	0	0
512200	地产ETF	47728450	6739894	8845527	0	0	0
512290	生物医药	144988373	12259572	26625114	0	0	0
512330	信息ETF	19449057	278784	96292	0	0	0
512400	有色ETF	227770506	56063392	54623020	0	0	0
512480	半导体	365190070	26329518	27513574	0	0	0
512500	中证500	18678788	471605	887130	703219583	5196800	7228800
512510	ETF500	2565182	690642	1221027	4504200	50000	0
512580	环保ETF	7915254	1145456	606785	0	0	0
512660	军工ETF	342963568	24803520	36255658	9000000	0	0
512680	军工基金	2613600	98379	721997	0	0	0
512690	酒ETF	119138285	31976350	27763235	0	0	0
512700	银行基金	5980210	775752	710098	0	0	0
512710	军工龙头	96848172	10215199	18250456	0	0	0
512720	计算机	20343640	1601633	1812408	0	0	0
512760	芯片ETF	742546321	61123322	63145800	66821921	1313900	1290000
512800	银行ETF	971396033	67514615	36196162	10891000	100000	538600
512880	证券ETF	4712710264	235552758	226446608	0	0	0
512900	证券基金	36710398	1462364	1324455	0	0	0
512910	100ETF	9485282	1751574	241153	0	0	0
512980	传媒ETF	40178586	3434031	3673812	0	0	0
512990	MSCIA股	3609264	142974	274299	0	0	0
513030	德国30	70766457	1883599	1973521	0	0	0
513050	中概互联	836542965	10570369	26464371	56700	0	0
513090	香港证券	21913911	7194012	12069719	0	0	0
513100	纳指ETF	826653920	7671450	13477656	0	0	0
513500	标普500	1485242443	3352856	48957960	0	0	0
513660	恒生通	75516523	513468	10340621	0	0	0
515000	科技ETF	210964724	25031975	16919929	0	0	1079900
515010	华夏证券	5869539	1787903	172376	0	0	0
515030	新汽车	211439919	42691758	38875617	0	0	0
515050	5GETF	559730160	52214957	48874340	0	0	0
515070	AI智能	28781495	750911	1292867	0	0	0
515180	100红利	7236372	426486	802026	0	0	0
515260	电子ETF	26010201	4410361	3160030	0	0	0
515380	泰康300	16260342	1017	1017	27576143	300000	300000
515560	证券E	46981408	1584751	1824581	0	0	0
515580	中证科技	4469906	196867	8835866	0	0	0
515650	消费50	27436697	10170360	12984880	0	0	0
515660	沪深300E	261976	232643	1249363	0	0	0
515700	新能车	128919556	23034425	18777158	25558400	0	0
515750	科技50	37002564	257889	2127686	0	0	0
515770	MSCIAETF	432887	67562	1195	0	0	0
515800	800ETF	1815850	137081	35089	36800900	0	5500000
515860	科技100	8665780	149394	511204	0	0	0
515880	通信ETF	89237384	5441286	5133783	11105000	0	0
515980	人工智能	16124989	340647	562118	0	0	0
518800	黄金基金	791389674	36445367	44073293	0	0	0
518880	黄金ETF	27139352877	481463956	535546136	70300	32600	49500
600000	浦发银行	5607667311	73514364	40066367	6460111	264700	368500
600004	白云机场	341280898	7971222	17643069	538547	15300	30500
600006	东风汽车	448516631	183938673	219388946	1330300	191800	90000
600007	中国国贸	296621945	525486	3016085	3000	0	0
600008	首创股份	454501371	5473595	9595897	1493011	496711	174200
600009	上海机场	1006309502	67164711	67884164	459594	18100	25000
600010	包钢股份	1282058057	51329423	72450440	10840800	100	1834400
600011	华能国际	319408664	35162296	34402924	2040838	418900	32700
600012	皖通高速	71710594	3169308	3912249	0	0	0
600015	华夏银行	1845350251	9790607	19663692	5733269	2500	0
600016	民生银行	6154056261	25164736	24804942	25085413	780900	399700
600017	日照港	285016546	4947731	6506223	415100	0	4700
600018	上港集团	689955081	17383629	15681755	2075299	67000	268400
600019	宝钢股份	1388001895	39779010	66342995	3023718	773900	52600
600020	中原高速	231919742	5114326	2202563	215600	215600	0
600021	上海电力	132728446	2614063	7990263	593642	149400	14200
600022	山东钢铁	563917835	16281708	16844540	3467400	654700	202891
600023	浙能电力	281974944	27718447	13369526	72200	13200	0
600025	华能水电	903922608	23169124	11253389	1058350	55000	9000
600026	中远海能	597137771	21620620	31000088	957126	224538	27900
600027	华电国际	522059908	21930414	25375573	811600	329900	99400
600028	中国石化	1707930149	36878129	29557381	36657667	20400	326200
600029	南方航空	976196596	18350948	19173938	1115689	59400	80800
600030	中信证券	13898882007	301336706	279584796	21031128	259900	501859
600031	三一重工	2229367941	192141430	195232830	6069666	147200	286603
600033	福建高速	267924193	4272977	6558682	0	0	0
600035	楚天高速	72286106	2102659	3023038	5000	0	0
600036	招商银行	4757902317	200615232	127243488	107171712	615943	442300
600037	歌华有线	756190847	4436790	9773772	613368	168000	4800
600038	中直股份	920351902	92291937	119242921	142815	95500	32600
600039	四川路桥	246616502	8602463	5838787	1127473	258100	86900
