代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600006	东风汽车	　5.76	+0.04	+0.699%	5.76	5.77	5.72	5.73	5.83	5.63	372,870	21,348.70	股吧
sh600008	首创股份	　2.91	-0.03	-1.020%	2.91	2.92	2.94	2.94	2.95	2.89	346,703	10,108.86	股吧
sh600021	上海电力	　7.08	-0.08	-1.117%	7.08	7.09	7.16	7.18	7.21	7.00	91,318	6,461.85	股吧
sh600022	山东钢铁	　1.42	-0.02	-1.389%	1.42	1.43	1.44	1.44	1.46	1.41	1,074,368	15,428.76	股吧
sh600026	中远海能	　6.40	-0.13	-1.991%	6.40	6.41	6.53	6.53	6.56	6.37	225,216	14,521.88	股吧
sh600037	歌华有线	　10.19	-0.11	-1.068%	10.18	10.19	10.30	10.33	10.35	9.91	135,027	13,647.55	股吧
sh600038	中直股份	　50.94	-0.61	-1.183%	50.72	50.94	51.55	51.93	51.93	49.85	109,734	55,474.47	股吧
sh600039	四川路桥	　4.59	-0.02	-0.434%	4.58	4.59	4.61	4.61	4.64	4.52	211,407	9,657.37	股吧
sh600053	九鼎投资	　20.56	-0.86	-4.015%	20.56	20.57	21.42	21.44	21.58	20.20	30,274	6,246.40	股吧
sh600056	中国医药	　14.69	-0.32	-2.132%	14.69	14.70	15.01	15.00	15.00	14.59	101,548	15,007.05	股吧
sh600060	海信视像	　10.68	+0.09	+0.850%	10.68	10.69	10.59	10.55	10.76	10.46	181,145	19,217.75	股吧
sh600062	华润双鹤	　12.04	-0.25	-2.034%	12.04	12.05	12.29	12.31	12.34	11.98	81,191	9,840.40	股吧
sh600064	南京高科	　10.26	-0.16	-1.536%	10.26	10.27	10.42	10.41	10.48	10.17	81,567	8,413.76	股吧
sh600073	上海梅林	　9.52	-0.38	-3.838%	9.52	9.53	9.90	9.84	9.91	9.48	150,870	14,554.85	股吧
sh600079	人福医药	　31.94	-1.36	-4.084%	31.85	31.94	33.30	33.20	33.45	31.47	104,180	33,689.87	股吧
sh600089	特变电工	　8.04	-0.11	-1.350%	8.04	8.05	8.15	8.16	8.19	7.80	755,164	59,902.31	股吧
sh600094	大名城	　4.34	-0.11	-2.472%	4.34	4.35	4.45	4.45	4.46	4.30	154,231	6,734.45	股吧
sh600120	浙江东方	　6.26	-0.15	-2.340%	6.26	6.27	6.41	6.44	6.44	6.21	157,323	9,905.47	股吧
sh600126	杭钢股份	　5.45	-0.19	-3.369%	5.45	5.46	5.64	5.67	5.72	5.41	189,552	10,468.01	股吧
sh600131	国网信通	　17.67	-0.22	-1.230%	17.67	17.68	17.89	17.91	17.97	17.45	66,263	11,703.15	股吧
sh600132	重庆啤酒	　119.28	+1.54	+1.308%	119.23	119.28	117.74	118.88	121.00	117.11	21,129	25,151.53	股吧
sh600141	兴发集团	　11.60	-0.12	-1.024%	11.59	11.60	11.72	11.73	11.97	11.33	249,708	28,993.69	股吧
sh600143	金发科技	　16.86	-0.18	-1.056%	16.86	16.87	17.04	17.12	17.35	16.70	354,609	60,152.44	股吧
sh600153	建发股份	　8.76	-0.32	-3.524%	8.75	8.76	9.08	9.09	9.14	8.76	196,539	17,670.59	股吧
sh600155	华创阳安	　12.83	-0.31	-2.359%	12.83	12.84	13.14	13.03	13.15	12.61	432,195	55,698.02	股吧
sh600158	中体产业	　14.50	+0.66	+4.769%	14.50	14.52	13.84	13.70	15.05	13.70	560,385	81,575.20	股吧
sh600160	巨化股份	　7.50	+0.11	+1.488%	7.50	7.51	7.39	7.37	7.57	7.30	321,769	23,965.02	股吧
sh600166	福田汽车	　3.23	+0.04	+1.254%	3.23	3.24	3.19	3.19	3.26	3.18	1,396,081	44,909.93	股吧
sh600167	联美控股	　12.22	-0.19	-1.531%	12.20	12.22	12.41	12.45	12.47	12.01	52,757	6,426.06	股吧
sh600170	上海建工	　3.10	+0.06	+1.974%	3.10	3.11	3.04	3.04	3.10	3.01	598,743	18,220.68	股吧
sh600171	上海贝岭	　14.59	-0.68	-4.453%	14.58	14.59	15.27	15.30	15.30	14.59	196,052	29,042.43	股吧
sh600188	兖州煤业	　10.70	-0.21	-1.925%	10.70	10.72	10.91	11.20	11.33	10.65	763,615	83,533.01	股吧
sh600195	中牧股份	　12.40	-0.29	-2.285%	12.40	12.41	12.69	12.69	12.71	12.27	135,939	16,874.77	股吧
sh600201	生物股份	　21.54	-0.82	-3.667%	21.54	21.55	22.36	22.35	22.45	21.30	151,578	32,947.77	股吧
sh600216	浙江医药	　13.83	-0.27	-1.915%	13.83	13.85	14.10	14.07	14.07	13.71	124,741	17,286.47	股吧
sh600219	南山铝业	　2.68	+0.02	+0.752%	2.67	2.68	2.66	2.68	2.72	2.59	1,837,562	48,756.15	股吧
sh600256	广汇能源	　2.92	-0.04	-1.351%	2.92	2.93	2.96	2.99	3.00	2.90	367,995	10,822.28	股吧
sh600258	首旅酒店	　23.38	-0.64	-2.664%	23.38	23.39	24.02	24.07	24.17	23.25	98,277	23,165.78	股吧
sh600259	广晟有色	　30.23	-0.87	-2.797%	30.22	30.23	31.10	31.31	31.65	30.06	45,983	14,134.60	股吧
sh600260	凯乐科技	　11.18	-0.15	-1.324%	11.18	11.19	11.33	11.28	11.30	11.10	94,718	10,580.90	股吧
sh600266	城建发展	　5.43	-0.04	-0.731%	5.43	5.45	5.47	5.47	5.52	5.43	37,850	2,066.38	股吧
sh600273	嘉化能源	　10.07	-0.39	-3.728%	10.07	10.09	10.46	10.58	10.58	9.92	245,281	24,938.35	股吧
sh600277	亿利洁能	　3.15	-0.07	-2.174%	3.15	3.16	3.22	3.21	3.23	3.14	216,437	6,859.17	股吧
sh600282	南钢股份	　3.34	+0.04	+1.212%	3.34	3.35	3.30	3.34	3.37	3.28	906,942	30,089.48	股吧
sh600291	西水股份	　5.71	-0.23	-3.872%	5.70	5.71	5.94	5.88	5.95	5.68	345,207	19,921.31	股吧
sh600307	酒钢宏兴	　1.68	0.00	0.000%	1.67	1.68	1.68	1.70	1.77	1.65	1,102,105	18,823.81	股吧
sh600312	平高电气	　6.99	-0.26	-3.586%	6.99	7.00	7.25	7.08	7.16	6.90	246,702	17,263.00	股吧
sh600315	上海家化	　37.95	-1.00	-2.567%	37.95	38.00	38.95	38.60	39.08	37.49	33,431	12,773.83	股吧
sh600316	洪都航空	　36.20	-0.65	-1.764%	36.20	36.21	36.85	36.60	36.80	35.37	209,351	75,459.79	股吧
sh600325	华发股份	　6.30	+0.03	+0.478%	6.27	6.30	6.27	6.29	6.31	6.19	199,199	12,461.34	股吧
sh600329	中新药业	　17.49	+0.80	+4.793%	17.48	17.49	16.69	16.69	17.68	16.58	85,148	14,646.32	股吧
sh600338	西藏珠峰	　8.81	-0.46	-4.962%	8.80	8.81	9.27	9.44	9.53	8.64	301,161	27,047.61	股吧
sh600339	中油工程	　2.95	-0.03	-1.007%	2.95	2.96	2.98	3.05	3.05	2.94	168,100	5,017.86	股吧
sh600348	阳泉煤业	　5.32	-0.07	-1.299%	5.31	5.32	5.39	5.48	5.58	5.32	516,918	28,243.94	股吧
sh600350	山东高速	　6.69	+0.16	+2.450%	6.69	6.70	6.53	6.55	6.69	6.42	111,274	7,284.74	股吧
sh600372	中航电子	　16.69	-0.34	-1.996%	16.69	16.70	17.03	17.03	17.09	16.22	261,100	43,400.24	股吧
sh600373	中文传媒	　11.02	-0.26	-2.305%	11.02	11.03	11.28	11.28	11.31	11.02	68,098	7,560.17	股吧
sh600376	首开股份	　6.15	0.00	0.000%	6.15	6.16	6.15	6.15	6.16	5.99	67,814	4,106.10	股吧
sh600380	健康元	　15.06	+0.43	+2.939%	15.05	15.06	14.63	14.68	15.48	14.67	339,045	51,395.98	股吧
