代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600000	浦发银行	　10.17	-0.07	-0.684%	10.16	10.17	10.24	10.24	10.25	10.05	473,365	47,918.33	股吧
sh600004	白云机场	　14.99	-0.12	-0.794%	14.99	15.00	15.11	15.15	15.28	14.95	88,799	13,381.60	股吧
sh600009	上海机场	　81.06	+0.86	+1.072%	81.06	81.07	80.20	80.75	81.59	79.78	80,265	64,933.88	股吧
sh600010	包钢股份	　1.19	-0.01	-0.833%	1.19	1.20	1.20	1.20	1.20	1.18	1,793,607	21,381.60	股吧
sh600011	华能国际	　4.95	-0.05	-1.000%	4.94	4.95	5.00	5.00	5.00	4.91	282,728	13,952.29	股吧
sh600015	华夏银行	　6.55	-0.16	-2.385%	6.54	6.55	6.71	6.65	6.67	6.49	460,019	30,184.18	股吧
sh600016	民生银行	　5.36	-0.03	-0.557%	5.35	5.36	5.39	5.38	5.38	5.30	1,136,524	60,711.52	股吧
sh600018	上港集团	　4.64	0.00	0.000%	4.64	4.65	4.64	4.63	4.65	4.58	255,045	11,770.66	股吧
sh600019	宝钢股份	　6.07	-0.13	-2.097%	6.06	6.07	6.20	6.17	6.17	5.90	1,652,041	99,612.15	股吧
sh600025	华能水电	　4.55	+0.03	+0.664%	4.54	4.55	4.52	4.54	4.56	4.50	238,240	10,793.15	股吧
sh600027	华电国际	　3.52	-0.04	-1.124%	3.51	3.52	3.56	3.55	3.56	3.50	328,479	11,549.40	股吧
sh600028	中国石化	　4.18	-0.02	-0.476%	4.17	4.18	4.20	4.20	4.22	4.14	1,243,280	51,794.62	股吧
sh600029	南方航空	　6.42	-0.15	-2.283%	6.41	6.42	6.57	6.64	6.67	6.40	653,085	42,358.52	股吧
sh600030	中信证券	　30.30	-0.60	-1.942%	30.30	30.31	30.90	30.95	30.97	30.18	1,228,227	372,878.70	股吧
sh600031	三一重工	　32.05	+0.39	+1.232%	32.05	32.06	31.66	31.50	32.07	31.18	583,231	184,652.62	股吧
sh600036	招商银行	　45.78	-0.71	-1.527%	45.77	45.78	46.49	46.47	46.60	45.11	461,155	209,937.81	股吧
sh600038	中直股份	　54.20	+0.56	+1.044%	54.20	54.21	53.64	53.60	54.60	53.02	64,329	34,552.37	股吧
sh600048	保利地产	　16.96	-0.31	-1.795%	16.96	16.97	17.27	17.27	17.30	16.82	565,766	95,797.40	股吧
sh600050	中国联通	　4.83	-0.04	-0.821%	4.82	4.83	4.87	4.87	4.87	4.81	796,503	38,477.09	股吧
sh600061	国投资本	　15.22	-0.15	-0.976%	15.22	15.23	15.37	15.28	15.35	15.08	282,412	42,867.57	股吧
sh600066	宇通客车	　17.82	-0.27	-1.493%	17.81	17.82	18.09	17.99	18.15	17.56	236,252	42,144.57	股吧
sh600068	葛洲坝	　6.79	-0.02	-0.294%	6.79	6.80	6.81	6.80	6.81	6.78	168,342	11,424.75	股吧
sh600085	同仁堂	　25.28	+0.22	+0.878%	25.28	25.29	25.06	25.20	25.47	25.03	238,301	60,038.73	股吧
sh600089	特变电工	　8.44	-0.12	-1.402%	8.43	8.44	8.56	8.54	8.57	8.41	215,900	18,254.54	股吧
sh600104	上汽集团	　25.24	-0.38	-1.483%	25.23	25.24	25.62	25.45	25.66	25.02	484,270	122,306.28	股吧
sh600109	国金证券	　17.73	-1.05	-5.591%	17.73	17.74	18.78	18.40	18.41	17.61	1,211,064	217,258.41	股吧
sh600111	北方稀土	　13.33	+0.21	+1.601%	13.32	13.33	13.12	13.13	13.52	13.02	1,236,251	164,289.18	股吧
