代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600000	浦发银行	　9.70	-0.12	-1.222%	9.70	9.73	9.82	9.84	9.88	9.69	483,866	47,162.01	股吧
sh600004	白云机场	　14.18	-0.17	-1.185%	14.15	14.18	14.35	14.46	14.47	13.99	120,695	17,047.60	股吧
sh600009	上海机场	　75.30	+0.30	+0.400%	75.02	75.30	75.00	75.20	76.14	74.30	82,001	61,569.64	股吧
sh600010	包钢股份	　1.17	-0.02	-1.681%	1.17	1.18	1.19	1.19	1.20	1.16	2,669,870	31,471.03	股吧
sh600011	华能国际	　4.58	-0.16	-3.376%	4.58	4.59	4.74	4.73	4.74	4.54	343,257	15,842.45	股吧
sh600015	华夏银行	　6.31	0.00	0.000%	6.28	6.31	6.31	6.32	6.33	6.20	400,171	25,009.61	股吧
sh600016	民生银行	　5.19	-0.11	-2.075%	5.18	5.19	5.30	5.32	5.35	5.19	1,149,687	60,622.25	股吧
sh600018	上港集团	　4.39	-0.08	-1.790%	4.38	4.39	4.47	4.46	4.48	4.34	435,727	19,110.38	股吧
sh600019	宝钢股份	　6.11	-0.05	-0.812%	6.10	6.11	6.16	6.22	6.24	5.94	1,125,260	68,262.26	股吧
sh600025	华能水电	　4.40	+0.03	+0.686%	4.40	4.41	4.37	4.38	4.46	4.36	344,156	15,200.38	股吧
sh600027	华电国际	　3.35	-0.07	-2.047%	3.34	3.35	3.42	3.43	3.43	3.30	616,887	20,643.25	股吧
sh600028	中国石化	　4.12	+0.06	+1.478%	4.11	4.12	4.06	4.10	4.12	4.05	1,250,889	51,120.28	股吧
sh600029	南方航空	　6.09	+0.01	+0.164%	6.08	6.09	6.08	6.07	6.15	6.02	307,995	18,705.35	股吧
sh600030	中信证券	　28.75	-0.41	-1.406%	28.75	28.76	29.16	29.13	29.25	28.53	1,011,390	292,122.70	股吧
sh600031	三一重工	　31.50	+0.65	+2.107%	31.49	31.50	30.85	30.92	31.85	30.76	716,270	224,591.92	股吧
sh600036	招商银行	　42.68	-1.60	-3.613%	42.67	42.68	44.28	44.25	44.27	42.68	771,435	334,733.62	股吧
sh600038	中直股份	　50.94	-0.61	-1.183%	50.72	50.94	51.55	51.93	51.93	49.85	109,734	55,474.47	股吧
sh600048	保利地产	　15.98	-0.23	-1.419%	15.98	16.00	16.21	16.30	16.30	15.91	535,688	85,876.51	股吧
sh600050	中国联通	　4.67	-0.03	-0.638%	4.67	4.68	4.70	4.71	4.72	4.65	871,093	40,705.28	股吧
sh600061	国投资本	　13.95	-0.10	-0.712%	13.95	13.96	14.05	14.02	14.10	13.83	248,055	34,617.43	股吧
sh600066	宇通客车	　17.08	+0.14	+0.826%	17.06	17.08	16.94	16.85	17.15	16.65	209,005	35,331.53	股吧
sh600068	葛洲坝	　6.72	-0.04	-0.592%	6.72	6.73	6.76	6.74	6.75	6.65	253,084	16,956.86	股吧
sh600085	同仁堂	　24.90	+0.24	+0.973%	24.90	25.00	24.66	24.48	25.35	24.33	669,637	167,078.92	股吧
sh600089	特变电工	　8.04	-0.11	-1.350%	8.04	8.05	8.15	8.16	8.19	7.80	755,164	59,902.31	股吧
sh600104	上汽集团	　23.80	+0.04	+0.168%	23.76	23.80	23.76	23.93	24.16	23.19	582,607	137,796.76	股吧
sh600109	国金证券	　16.49	-0.28	-1.670%	16.49	16.50	16.77	16.66	16.80	16.25	674,814	111,398.04	股吧
sh600111	北方稀土	　11.90	-0.55	-4.418%	11.89	11.90	12.45	12.68	12.82	11.71	1,436,936	175,050.22	股吧
sh600115	东方航空	　4.82	-0.01	-0.207%	4.81	4.82	4.83	4.84	4.85	4.77	308,355	14,815.38	股吧
sh600118	中国卫星	　30.88	-0.58	-1.844%	30.88	30.89	31.46	31.31	31.47	30.60	112,858	34,885.14	股吧
sh600170	上海建工	　3.10	+0.06	+1.974%	3.10	3.11	3.04	3.04	3.10	3.01	598,743	18,220.68	股吧
sh600176	中国巨石	　16.68	0.00	0.000%	0.00	0.00	16.68	0.00	0.00	0.00	0	0.00	股吧
sh600177	雅戈尔	　7.20	+0.04	+0.559%	7.19	7.20	7.16	7.15	7.20	7.04	240,444	17,083.41	股吧
sh600183	生益科技	　27.15	-0.81	-2.897%	27.14	27.15	27.96	27.77	28.30	26.91	321,250	88,211.69	股吧
sh600188	兖州煤业	　10.70	-0.21	-1.925%	10.70	10.72	10.91	11.20	11.33	10.65	763,615	83,533.01	股吧
sh600196	复星医药	　57.02	+2.18	+3.975%	57.02	57.03	54.84	54.83	57.37	54.03	873,440	488,609.40	股吧
sh600208	新湖中宝	　3.20	0.00	0.000%	3.20	3.21	3.20	3.20	3.21	3.12	577,740	18,275.00	股吧
sh600219	南山铝业	　2.68	+0.02	+0.752%	2.67	2.68	2.66	2.68	2.72	2.59	1,837,562	48,756.15	股吧
sh600221	海航控股	　1.55	-0.01	-0.641%	1.54	1.55	1.56	1.55	1.56	1.50	2,156,159	32,970.90	股吧
sh600233	圆通速递	　12.79	-0.45	-3.399%	12.78	12.79	13.24	13.25	13.34	12.66	166,958	21,499.47	股吧
sh600271	航天信息	　12.09	-1.03	-7.851%	12.09	12.10	13.12	12.98	13.11	12.09	344,271	42,937.43	股吧
sh600276	恒瑞医药	　89.50	+0.50	+0.562%	89.31	89.50	89.00	89.60	90.83	88.60	259,012	232,617.78	股吧
sh600297	广汇汽车	　3.28	-0.08	-2.381%	3.28	3.29	3.36	3.36	3.40	3.26	908,317	30,368.07	股吧
sh600299	安迪苏	　12.17	-0.24	-1.934%	12.16	12.17	12.41	12.41	12.47	12.00	65,008	7,951.36	股吧
sh600309	万华化学	　81.82	-0.30	-0.365%	81.81	81.82	82.12	82.15	84.07	81.00	141,719	117,013.30	股吧
sh600332	白云山	　30.05	-0.45	-1.475%	30.05	30.06	30.50	30.50	30.55	29.88	76,090	22,906.61	股吧
sh600340	华夏幸福	　13.85	-0.22	-1.564%	13.84	13.85	14.07	14.08	14.15	13.76	117,546	16,312.73	股吧
sh600346	恒力石化	　24.75	+0.21	+0.856%	24.74	24.75	24.54	24.88	25.50	24.47	277,435	69,067.37	股吧
sh600352	浙江龙盛	　14.00	-0.07	-0.498%	14.00	14.01	14.07	14.07	14.24	13.90	277,606	39,017.05	股吧
sh600362	江西铜业	　19.89	-0.58	-2.833%	19.89	19.90	20.47	21.30	21.55	19.41	948,543	195,821.70	股吧
sh600369	西南证券	　5.10	-0.05	-0.971%	5.09	5.10	5.15	5.15	5.17	5.05	298,948	15,242.59	股吧
sh600372	中航电子	　16.69	-0.34	-1.996%	16.69	16.70	17.03	17.03	17.09	16.22	261,100	43,400.24	股吧
sh600383	金地集团	　13.82	-0.26	-1.847%	13.80	13.82	14.08	14.07	14.11	13.69	272,376	37,644.89	股吧
sh600390	五矿资本	　6.90	-0.09	-1.288%	6.90	6.91	6.99	6.98	7.03	6.85	135,240	9,359.42	股吧
sh600398	海澜之家	　6.72	+0.10	+1.511%	6.72	6.73	6.62	6.62	6.72	6.54	162,582	10,760.25	股吧
sh600406	国电南瑞	　22.32	-0.12	-0.535%	22.26	22.32	22.44	22.43	22.50	21.99	159,857	35,524.99	股吧
sh600436	片仔癀	　241.00	-4.87	-1.981%	240.99	241.00	245.87	245.88	250.80	238.00	53,346	129,994.81	股吧
sh600438	通威股份	　30.75	-0.15	-0.485%	30.75	30.76	30.90	31.15	31.75	30.33	1,031,240	319,577.34	股吧
sh600482	中国动力	　16.51	-0.41	-2.423%	16.51	16.52	16.92	16.93	16.93	16.42	68,599	11,382.89	股吧
sh600487	亨通光电	　14.10	-0.38	-2.624%	14.09	14.10	14.48	14.48	14.52	14.02	195,040	27,629.02	股吧
sh600489	中金黄金	　8.89	-0.15	-1.659%	8.89	8.90	9.04	9.04	9.12	8.78	360,154	32,077.79	股吧
sh600498	烽火通信	　23.25	-0.33	-1.399%	23.25	23.26	23.58	23.60	23.66	23.03	105,972	24,626.02	股吧
sh600516	方大炭素	　6.70	-0.09	-1.325%	6.67	6.70	6.79	6.86	6.90	6.55	671,736	44,973.66	股吧
sh600519	贵州茅台	　1820.00	-12.90	-0.704%	1815.62	1820.00	1832.90	1834.78	1837.32	1804.81	30,776	559,535.97	股吧
sh600522	中天科技	　10.52	-0.17	-1.590%	10.51	10.52	10.69	10.72	10.72	10.44	226,636	23,850.99	股吧
sh600547	山东黄金	　23.48	-0.22	-0.928%	23.48	23.49	23.70	23.70	23.85	23.35	170,120	40,012.50	股吧
sh600570	恒生电子	　100.00	-2.59	-2.525%	100.00	100.24	102.59	103.43	103.74	100.00	146,269	148,255.78	股吧
sh600583	海油工程	　4.45	+0.03	+0.679%	4.45	4.46	4.42	4.47	4.53	4.38	302,375	13,400.38	股吧
sh600585	海螺水泥	　52.45	-0.46	-0.869%	52.45	52.46	52.91	52.91	53.31	52.08	181,333	95,268.72	股吧
sh600588	用友网络	　43.78	-0.85	-1.905%	43.78	43.79	44.63	45.30	45.30	43.30	118,731	52,425.27	股吧
sh600606	绿地控股	　6.08	-0.27	-4.252%	6.08	6.10	6.35	6.35	6.36	6.08	599,414	37,165.32	股吧
sh600637	东方明珠	　8.99	-0.22	-2.389%	8.99	9.01	9.21	9.21	9.23	8.98	154,108	13,936.67	股吧
sh600655	豫园股份	　8.74	-0.09	-1.019%	8.73	8.74	8.83	9.00	9.02	8.61	109,069	9,521.34	股吧
sh600660	福耀玻璃	　38.00	-0.42	-1.093%	37.93	38.00	38.42	38.56	38.57	36.58	263,434	98,148.24	股吧
sh600674	川投能源	　9.95	+0.06	+0.607%	9.95	9.96	9.89	9.94	9.95	9.70	189,190	18,534.26	股吧
sh600690	海尔智家	　26.30	+0.10	+0.382%	26.22	26.30	26.20	26.38	26.63	25.76	399,636	104,480.26	股吧
sh600703	三安光电	　27.51	+0.16	+0.585%	27.50	27.51	27.35	27.50	27.73	26.96	752,190	205,894.93	股吧
sh600705	中航资本	　4.27	-0.07	-1.613%	4.26	4.27	4.34	4.33	4.35	4.25	377,554	16,168.79	股吧
sh600741	华域汽车	　29.44	+0.07	+0.238%	29.37	29.44	29.37	29.64	29.64	28.11	321,277	92,087.58	股吧
sh600745	闻泰科技	　108.50	+3.91	+3.738%	108.50	108.51	104.59	104.00	109.56	103.15	257,464	276,354.93	股吧
sh600760	中航沈飞	　59.13	-1.76	-2.890%	59.06	59.13	60.89	60.92	61.20	58.00	122,944	72,799.98	股吧
代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600795	国电电力	　2.03	-0.11	-5.140%	2.03	2.04	2.14	2.13	2.14	2.03	2,036,231	42,174.65	股吧
sh600809	山西汾酒	　292.00	+12.42	+4.442%	292.00	292.16	279.58	283.00	298.00	280.31	82,785	239,339.45	股吧
sh600837	海通证券	　12.57	-0.18	-1.412%	12.52	12.57	12.75	12.79	12.79	12.25	1,364,275	170,145.03	股吧
sh600848	上海临港	　21.53	-0.20	-0.920%	21.53	21.54	21.73	21.79	21.79	21.26	30,439	6,529.52	股吧
sh600867	通化东宝	　13.32	-0.12	-0.893%	13.32	13.33	13.44	13.40	13.43	12.50	510,198	65,919.48	股吧
sh600886	国投电力	　8.49	-0.11	-1.279%	8.49	8.50	8.60	8.60	8.65	8.40	194,246	16,528.07	股吧
sh600887	伊利股份	　39.04	-0.39	-0.989%	39.03	39.04	39.43	39.53	39.65	38.36	546,453	212,316.78	股吧
sh600893	航发动力	　44.15	-0.90	-1.998%	44.10	44.15	45.05	45.28	45.48	43.52	305,661	134,927.78	股吧
sh600900	长江电力	　20.01	+0.06	+0.301%	20.00	20.01	19.95	20.00	20.30	19.68	368,045	73,559.30	股吧
sh600919	江苏银行	　5.93	0.00	0.000%	0.00	0.00	5.93	0.00	0.00	0.00	0	0.00	股吧
sh600926	杭州银行	　14.47	+0.14	+0.977%	14.47	14.50	14.33	14.50	14.68	14.34	292,259	42,373.58	股吧
sh600928	西安银行	　5.61	+0.08	+1.447%	5.61	5.62	5.53	5.50	5.62	5.47	511,398	28,432.35	股吧
sh600958	东方证券	　11.01	-0.02	-0.181%	11.01	11.02	11.03	11.02	11.15	10.93	532,445	58,818.59	股吧
sh600968	海油发展	　2.50	+0.04	+1.626%	2.49	2.50	2.46	2.48	2.50	2.45	681,546	16,895.07	股吧
sh600977	中国电影	　12.70	+0.09	+0.714%	12.61	12.70	12.61	12.60	12.70	12.35	148,457	18,530.56	股吧
sh600989	宝丰能源	　11.89	+0.14	+1.191%	11.87	11.89	11.75	11.85	12.18	11.72	328,861	39,284.86	股吧
sh600998	九州通	　17.11	-0.22	-1.269%	17.10	17.11	17.33	17.37	17.50	17.04	66,001	11,343.46	股吧
sh600999	XD招商证	　21.94	-0.46	-2.054%	21.93	21.94	22.40	22.25	22.39	21.67	361,335	79,362.01	股吧
sh601006	大秦铁路	　6.77	-0.04	-0.587%	6.77	6.78	6.81	6.79	6.85	6.67	773,426	52,254.39	股吧
sh601009	南京银行	　8.04	0.00	0.000%	8.03	8.04	8.04	8.07	8.12	7.89	501,128	39,968.48	股吧
sh601012	隆基股份	　72.80	-1.30	-1.754%	72.79	72.80	74.10	75.00	75.08	72.02	521,764	383,704.88	股吧
sh601018	宁波港	　3.76	+0.02	+0.535%	3.76	3.77	3.74	3.76	3.77	3.65	306,599	11,345.82	股吧
sh601021	春秋航空	　50.10	-0.62	-1.222%	50.08	50.10	50.72	51.10	51.37	49.65	28,373	14,303.95	股吧
sh601066	中信建投	　43.49	+0.49	+1.140%	43.49	43.60	43.00	43.00	44.60	42.70	707,786	312,148.34	股吧
sh601077	渝农商行	　4.57	-0.03	-0.652%	4.57	4.58	4.60	4.60	4.63	4.56	339,223	15,570.03	股吧
sh601088	中国神华	　18.63	+0.09	+0.485%	18.61	18.63	18.54	18.95	19.08	18.45	384,023	71,791.33	股吧
sh601100	恒立液压	　98.40	-0.03	-0.030%	98.39	98.40	98.43	98.40	99.99	97.60	35,488	34,985.76	股吧
sh601108	财通证券	　12.55	-0.14	-1.103%	12.55	12.56	12.69	12.65	12.75	12.40	483,206	60,788.16	股吧
sh601111	中国国航	　7.76	+0.04	+0.518%	7.75	7.76	7.72	7.76	7.88	7.68	496,341	38,498.93	股吧
sh601117	中国化学	　5.83	-0.10	-1.686%	5.82	5.83	5.93	5.95	5.96	5.78	475,145	27,730.47	股吧
sh601138	工业富联	　13.47	+0.04	+0.298%	13.46	13.47	13.43	13.38	13.52	13.30	243,916	32,712.04	股吧
sh601155	新城控股	　34.51	-0.59	-1.681%	34.48	34.51	35.10	35.20	35.25	34.22	49,888	17,240.85	股吧
sh601162	天风证券	　5.99	-0.09	-1.480%	5.98	5.99	6.08	6.05	6.08	5.90	1,068,814	63,924.67	股吧
sh601166	兴业银行	　20.12	-0.16	-0.789%	20.12	20.17	20.28	20.43	20.62	20.03	1,026,901	208,693.10	股吧
sh601169	北京银行	　4.79	-0.16	-3.232%	4.78	4.79	4.95	4.96	4.97	4.79	786,169	38,436.03	股吧
sh601186	中国铁建	　8.25	-0.05	-0.602%	8.25	8.26	8.30	8.29	8.33	8.20	428,236	35,287.71	股吧
sh601198	东兴证券	　12.23	-0.17	-1.371%	12.22	12.23	12.40	12.40	12.44	12.10	207,129	25,331.70	股吧
sh601211	国泰君安	　17.79	-0.22	-1.222%	17.78	17.79	18.01	18.06	18.23	17.59	518,525	92,847.60	股吧
sh601212	白银有色	　2.77	-0.05	-1.773%	2.77	2.78	2.82	2.86	2.88	2.75	675,649	19,009.32	股吧
sh601216	君正集团	　4.93	-0.06	-1.202%	4.92	4.93	4.99	5.02	5.12	4.87	1,211,712	60,487.77	股吧
sh601225	陕西煤业	　10.17	+0.13	+1.295%	10.16	10.17	10.04	10.34	10.55	10.05	800,646	82,144.18	股吧
sh601229	上海银行	　7.90	-0.08	-1.003%	7.90	7.92	7.98	7.95	8.03	7.87	241,254	19,121.30	股吧
sh601231	环旭电子	　19.46	-2.09	-9.698%	19.45	19.46	21.55	21.38	21.38	19.40	387,375	77,233.32	股吧
sh601236	红塔证券	　17.61	+0.79	+4.697%	17.61	17.67	16.82	16.97	17.85	16.72	537,181	94,281.76	股吧
sh601238	广汽集团	　13.11	+0.54	+4.296%	13.10	13.11	12.57	12.60	13.14	12.60	420,021	53,733.51	股吧
